subject,activity,rows,acc_mean,acc_std,gyro_mean
23,Sitting,12,0.9979,0.0575,0.0493
23,Standing,8,1.0087,0.0494,0.0456
23,Walking,7,1.0878,0.2566,0.3167
23,Walking Downstairs,3,1.4719,0.4156,0.3753
23,Walking Upstairs,11,1.4359,0.5593,0.3503
24,Laying,9,0.2579,0.0354,0.0358
24,Sitting,9,0.974,0.0302,0.0401
24,Standing,6,1.0067,0.0584,0.0455
24,Walking,11,1.1808,0.381,0.3502
24,Walking Downstairs,7,1.2879,0.4833,0.3027
24,Walking Upstairs,7,1.4283,0.504,0.3056
25,Laying,7,0.2568,0.0242,0.0325
25,Sitting,9,1.0019,0.0543,0.0475
25,Standing,8,0.987,0.0211,0.0461
25,Walking,6,1.2645,0.3785,0.277
25,Walking Downstairs,5,1.135,0.4097,0.3414
25,Walking Upstairs,7,1.6561,0.4972,0.311
26,Laying,5,0.2588,0.0252,0.0294
26,Sitting,11,0.9881,0.0465,0.0409
26,Standing,9,1.0016,0.0404,0.0426
26,Walking,6,1.094,0.4683,0.3606
26,Walking Downstairs,1,1.187,,0.1263
26,Walking Upstairs,7,1.6088,0.311,0.3517
27,Laying,6,0.2453,0.0309,0.0376
27,Sitting,5,1.0013,0.0693,0.0464
27,Standing,5,0.9953,0.0331,0.0262
27,Walking,2,1.6033,0.1315,0.1894
27,Walking Downstairs,3,1.3854,0.4986,0.3412
27,Walking Upstairs,7,1.6135,0.5262,0.3717
28,Laying,11,0.2486,0.0317,0.0272
28,Sitting,6,0.974,0.0426,0.0397
28,Standing,6,1.0285,0.0442,0.0444
28,Walking,6,1.1288,0.4904,0.2591
28,Walking Downstairs,12,1.2603,0.3354,0.2716
28,Walking Upstairs,16,1.4369,0.5223,0.297
29,Laying,7,0.2488,0.0235,0.0296
29,Sitting,5,0.9997,0.0361,0.0514
29,Standing,2,1.0322,0.0154,0.0309
29,Walking,15,1.1656,0.3802,0.2926
29,Walking Downstairs,9,1.2577,0.4204,0.2824
29,Walking Upstairs,4,1.4945,0.2199,0.3148
30,Laying,11,0.257,0.0284,0.0326
30,Sitting,7,0.9987,0.0388,0.0472
30,Standing,13,1.0084,0.0423,0.0407
30,Walking,10,1.1137,0.2735,0.2988
30,Walking Downstairs,9,1.3328,0.4132,0.3206
30,Walking Upstairs,8,1.3733,0.3567,0.3433
